word,coefficient
video,-10.295740651777908
image,-7.841487254925244
just,-7.7254706721258275
featured,-7.6434305947800905
gop,-6.871327386559391
read,-6.023645427924043
hillary,-5.91289269993728
getty,-5.587060039443002
wire,-5.344770918351926
watch,-5.306991982796224
com,-5.087405471384096
images,-5.0124701839175385
america,-4.898110096707468
mr,-4.62266322115084
pic,-4.541140957989731
like,-4.5220703642764875
breaking,-3.85752691364937
fact,-3.701424970892705
obama,-3.4995699801296287
rep,-3.488468619996735
isis,-3.344380729475989
american,-3.338911130884795
isn,-3.3304782390887464
didn,-3.311434349196709
doesn,-3.0152030612291587
daily,-3.0033308778958676
sen,-2.9760336333537114
actually,-2.9359833587479294
according,-2.8472603556306297
breitbart,-2.8104859316553514
