word,coefficient
reuters,23.406264900515374
washington,7.454440252537282
wednesday,6.321822791461203
tuesday,5.88720520524601
thursday,5.770634285261353
republican,5.733421339941672
friday,4.943545619522794
monday,4.737978519925754
presidential,4.38427708653955
nov,4.2380355269731576
spokesman,4.106166804869249
minister,4.006232732022266
statement,3.9983305760964782
comment,3.7376702794583987
reporters,3.6312508733527533
democratic,3.5250769625835945
told,3.3332082663331057
year,2.920865277548413
election,2.8248710369436214
britain,2.8090469487993013
york,2.7854655987175967
moscow,2.776646265413071
month,2.76699852643365
sunday,2.7575510247110993
london,2.693876549779241
killed,2.6631109799183177
spokeswoman,2.649879486609316
representatives,2.619742125627615
house,2.5813027418206973
ministry,2.570373363176462
